Member_ID,First_name,Last_name,Membership_Type,Borrowing_Limit,Membership_Duration,Violations
136,Donna,Sloan,Individual Membership,5,3,0
137,Colin,Wise,Individual Membership,5,3,0
138,Natasha,Jones,Individual Membership,5,3,5
139,Billy,Lang,Individual Membership,5,1,0
140,Alexis,Murray,Student Membership,10,5,2
141,Dustin,Floyd,Individual Membership,5,2,3
142,Ryan,Phillips,Student Membership,10,1,4
143,Matthew,Wong,Student Membership,10,4,0
144,Timothy,Lewis,Family Membership,10,1,0
145,Sheryl,Gordon,Family Membership,10,1,5
146,Austin,Harrington,Family Membership,10,4,3
147,Amy,Fisher,Student Membership,10,4,5
148,Joshua,Rodriguez,Student Membership,10,3,4
149,Douglas,Miller,Family Membership,10,3,4
150,John,Howell,Family Membership,10,2,0
151,Catherine,Smith,Family Membership,10,3,4
152,Kathryn,Stanton,Student Membership,10,4,0
153,Jared,Adams,Student Membership,10,4,4
154,Jorge,Mitchell,Individual Membership,5,3,0
155,Sarah,Orozco,Family Membership,10,3,0
156,Jessica,Logan,Family Membership,10,3,5
157,Tiffany,Torres,Family Membership,10,5,1
158,Erica,Vega,Student Membership,10,5,2
159,Patrick,Walters,Student Membership,10,1,1
160,Nathan,Silva,Student Membership,10,4,3
161,Jose,Swanson,Family Membership,10,4,5
162,Daniel,Moses,Individual Membership,5,3,0
163,David,Dodson,Individual Membership,5,3,0
164,Jessica,Nixon,Family Membership,10,3,2
165,John,Reid,Family Membership,10,2,5
166,Shannon,Brooks,Student Membership,10,3,4
167,Alexandria,Lopez,Family Membership,10,2,1
168,Jonathan,Lopez,Family Membership,10,1,1
169,Brian,Rivera,Individual Membership,5,5,5
170,Rose,Smith,Family Membership,10,4,0
171,Joseph,Cowan,Individual Membership,5,2,4
172,Aaron,Mccarthy,Student Membership,10,5,0
173,Julie,Chavez,Individual Membership,5,3,0
174,John,Roberts,Student Membership,10,2,2
175,Melinda,Foster,Family Membership,10,2,1
176,Meghan,Mcdaniel,Family Membership,10,2,5
177,Damon,Barnes,Student Membership,10,2,1
178,Justin,Hunter,Student Membership,10,2,5
179,Larry,Walker,Family Membership,10,4,3
180,Patricia,Fowler,Individual Membership,5,2,5
181,David,Collins,Family Membership,10,2,2
182,Melissa,Butler,Family Membership,10,2,3
183,Jordan,Aguilar,Student Membership,10,2,1
184,Alan,Joyce,Individual Membership,5,4,4
185,Kimberly,Jackson,Family Membership,10,2,1
186,Edward,Cochran,Individual Membership,5,3,3
187,Grace,Wilson,Family Membership,10,1,1
188,Rachel,Olson,Student Membership,10,5,0
189,Jared,Huang,Student Membership,10,5,3
190,Carla,Brown,Family Membership,10,5,4
191,Matthew,Green,Family Membership,10,3,4
192,William,Burgess,Individual Membership,5,3,3
193,Jennifer,Curtis,Individual Membership,5,2,5
194,Mary,Brown,Individual Membership,5,5,3
195,Marcus,Gibson,Family Membership,10,1,2
196,Corey,Gutierrez,Student Membership,10,5,4
197,Madison,Rosario,Family Membership,10,3,3
198,Roberto,Bailey,Student Membership,10,1,5
199,Rachel,Merritt,Individual Membership,5,1,0
200,Michele,Dean,Student Membership,10,5,2
201,Anna,Smith,Family Membership,10,5,5
202,Dawn,Acosta,Family Membership,10,1,5
203,Catherine,Johnson,Family Membership,10,1,5
204,Brianna,Lynch,Family Membership,10,2,0
205,Michael,Adams,Family Membership,10,4,2
206,Brittany,Meyer,Student Membership,10,1,5
207,Jason,Woods,Individual Membership,5,3,0
208,Sierra,Welch,Student Membership,10,2,3
209,Brandon,Austin,Individual Membership,5,1,4
210,Kevin,Holmes,Student Membership,10,1,1
211,Katherine,Vasquez,Student Membership,10,1,4
212,Robert,Holmes,Student Membership,10,4,3
213,Timothy,Townsend,Family Membership,10,4,3
214,Joseph,Brown,Individual Membership,5,4,3
215,Cynthia,Hunter,Individual Membership,5,5,4
216,Thomas,Smith,Student Membership,10,5,4
217,Daniel,Rice,Family Membership,10,3,5
218,Zachary,Torres,Student Membership,10,2,3
219,Linda,Ramos,Family Membership,10,4,1
220,Nicole,Hall,Student Membership,10,5,2
221,Jose,Herman,Family Membership,10,1,0
222,Lauren,Russell,Student Membership,10,4,3
223,Kyle,Taylor,Family Membership,10,3,5
224,Phillip,Stone,Family Membership,10,4,3
225,Jesus,Bauer,Family Membership,10,1,3
226,Angelica,Martinez,Student Membership,10,1,3
227,Lisa,Brown,Family Membership,10,3,0
228,Wanda,Le,Student Membership,10,5,4
229,Stacey,Li,Student Membership,10,4,2
230,Adam,Johnson,Individual Membership,5,3,4
231,Aaron,Cox,Individual Membership,5,2,0
232,Carlos,Wallace,Family Membership,10,5,5
233,Rebecca,Turner,Individual Membership,5,3,5
234,James,Mendoza,Student Membership,10,4,0
235,Joan,Kennedy,Student Membership,10,1,1
236,Jerome,Hahn,Individual Membership,5,4,4
237,Patrick,Wolfe,Individual Membership,5,1,2
238,Sheri,James,Family Membership,10,3,0
239,Barbara,Pratt,Individual Membership,5,2,3
240,Thomas,Abbott,Individual Membership,5,1,4
241,Brandon,Farrell,Student Membership,10,3,4
242,Jerry,Arellano,Individual Membership,5,4,0
243,Christopher,Cooper,Individual Membership,5,4,4
244,Michael,Richards,Individual Membership,5,5,5
245,Keith,Lawson,Individual Membership,5,2,2
246,Richard,Bender,Individual Membership,5,3,5
247,Susan,Cooper,Family Membership,10,1,1
248,Robert,Anderson,Student Membership,10,5,1
249,Melissa,Buchanan,Student Membership,10,1,1
250,Courtney,Walters,Individual Membership,5,5,3
251,Dakota,Snyder,Individual Membership,5,1,0
252,Craig,Farmer,Family Membership,10,2,3
253,Laura,Mendoza,Student Membership,10,4,4
254,Cheryl,Hogan,Family Membership,10,1,1
255,Lisa,Tucker,Student Membership,10,1,1
256,David,Combs,Student Membership,10,1,2
257,Aaron,Cowan,Individual Membership,5,1,4
258,Ruth,Combs,Student Membership,10,4,2
259,Robert,Cook,Student Membership,10,2,4
260,William,Reyes,Student Membership,10,5,0
261,Mackenzie,Jordan,Family Membership,10,4,5
262,Colleen,Phillips,Individual Membership,5,1,3
263,Rebecca,Kramer,Individual Membership,5,1,5
264,John,Cox,Family Membership,10,1,2
265,Sarah,Garrison,Family Membership,10,4,4
266,James,Willis,Student Membership,10,3,2
267,Felicia,Watson,Individual Membership,5,1,3
268,Arthur,Fletcher,Student Membership,10,4,5
269,Heidi,Davis,Student Membership,10,4,1
270,Christopher,Henderson,Family Membership,10,4,0
271,Jeffrey,Pratt,Individual Membership,5,5,0
272,Brittany,Mills,Student Membership,10,4,3
273,Robert,Hernandez,Family Membership,10,2,4
274,James,Sanders,Individual Membership,5,1,5
275,Jason,Sullivan,Individual Membership,5,3,0
276,Charles,Craig,Family Membership,10,4,1
277,Steven,Mitchell,Family Membership,10,5,5
278,William,Leon,Family Membership,10,1,5
279,Brooke,Griffin,Student Membership,10,3,1
280,Blake,Allen,Student Membership,10,4,3
281,Mark,Koch,Family Membership,10,2,5
282,Maureen,Mcmahon,Student Membership,10,5,5
283,Nancy,Gould,Individual Membership,5,3,4
284,Scott,Nicholson,Student Membership,10,1,4
285,Dillon,White,Student Membership,10,2,1
286,Jeremy,Williams,Student Membership,10,2,1
287,Laurie,Jimenez,Student Membership,10,5,3
288,Kari,Lewis,Individual Membership,5,1,1
289,Gabrielle,Mcbride,Family Membership,10,2,0
290,William,Smith,Individual Membership,5,1,4
291,Emily,Castillo,Family Membership,10,2,5
292,Juan,Roberts,Family Membership,10,5,2
293,Timothy,Bowen,Individual Membership,5,3,1
294,Laura,Castro,Student Membership,10,5,5
295,Martin,Walker,Family Membership,10,3,4
296,Caleb,Villarreal,Family Membership,10,3,0
297,Patricia,Hall,Family Membership,10,5,2
298,Teresa,Nunez,Family Membership,10,2,5
299,Ashley,Holmes,Student Membership,10,5,3
300,Victoria,Morgan,Student Membership,10,3,5
301,Margaret,King,Individual Membership,5,2,1
302,Elizabeth,Li,Family Membership,10,5,3
303,Jimmy,Smith,Student Membership,10,5,3
304,Lauren,Noble,Individual Membership,5,5,1
305,Jessica,Miller,Individual Membership,5,2,3
306,Kim,Martin,Student Membership,10,3,2
307,Erika,Bowers,Family Membership,10,1,5
308,Stephanie,Gordon,Student Membership,10,4,2
309,Diane,Bryant,Student Membership,10,1,1
310,Larry,Allen,Family Membership,10,5,4
311,Tiffany,Villanueva,Individual Membership,5,1,1
312,Victoria,Jenkins,Family Membership,10,4,3
313,Scott,Morrow,Family Membership,10,3,2
314,Monica,Welch,Family Membership,10,3,0
315,George,Nelson,Family Membership,10,4,1
316,Alicia,Gutierrez,Individual Membership,5,2,0
317,Tammy,Wright,Student Membership,10,1,0
318,Tammy,Dunn,Individual Membership,5,5,1
319,Lisa,Vaughn,Student Membership,10,2,1
320,David,Hughes,Family Membership,10,1,5
321,Jonathan,Mendoza,Family Membership,10,3,3
322,Stephanie,Hood,Student Membership,10,4,0
323,Michael,Dunn,Student Membership,10,3,0
324,Dustin,Allison,Individual Membership,5,2,5
325,Justin,Smith,Family Membership,10,4,4
326,Jessica,Bennett,Individual Membership,5,3,2
327,Michael,Vaughn,Individual Membership,5,1,4
328,Amber,Lee,Family Membership,10,3,3
329,Christopher,Miller,Family Membership,10,1,1
330,Lisa,Johnson,Individual Membership,5,4,1
331,Jacob,Williams,Family Membership,10,2,3
332,Courtney,Merritt,Student Membership,10,3,1
333,Carmen,Williams,Family Membership,10,2,3
334,Jonathan,Hendricks,Individual Membership,5,1,4
335,David,Cline,Student Membership,10,3,1
336,Deborah,Krause,Individual Membership,5,1,0
337,Patrick,Gonzalez,Individual Membership,5,1,2
338,Christine,Price,Individual Membership,5,5,1
339,Ashley,Lawson,Family Membership,10,1,5
340,Christopher,Benson,Family Membership,10,1,1
341,Christopher,Carroll,Family Membership,10,4,4
342,Jessica,Brown,Student Membership,10,5,1
343,Andrew,Martin,Family Membership,10,1,5
344,Steven,Wiley,Family Membership,10,2,3
345,Lisa,Carlson,Student Membership,10,2,0
346,Heather,Rodriguez,Family Membership,10,2,5
347,Ashley,Velasquez,Family Membership,10,2,0
348,Mary,Johnson,Individual Membership,5,2,0
349,Nicole,Thompson,Individual Membership,5,5,3
350,Nathan,Hernandez,Student Membership,10,4,0
351,Calvin,Merritt,Student Membership,10,3,4
352,Craig,Bailey,Family Membership,10,5,3
353,Mary,Coleman,Individual Membership,5,2,3
354,Mario,Orr,Student Membership,10,4,4
355,Julie,Bowers,Family Membership,10,3,4
356,Megan,Bell,Family Membership,10,1,2
357,Amanda,Adams,Family Membership,10,5,2
358,Wendy,Green,Student Membership,10,4,4
359,Christina,Bailey,Individual Membership,5,2,4
360,Megan,Patton,Student Membership,10,1,4
361,Molly,Beard,Student Membership,10,4,0
362,Richard,Fisher,Student Membership,10,5,4
363,Jennifer,Hunt,Individual Membership,5,3,5
364,Wendy,Hawkins,Family Membership,10,1,0
365,Holly,Moore,Student Membership,10,4,4
366,Denise,Hernandez,Family Membership,10,2,4
367,Diana,Phelps,Individual Membership,5,2,3
368,Amanda,Price,Individual Membership,5,4,2
369,Chelsea,Jackson,Individual Membership,5,1,2
370,Barbara,Reyes,Individual Membership,5,4,0
371,Heather,Davis,Individual Membership,5,2,3
372,Edward,Santiago,Individual Membership,5,2,1
373,Sarah,Cohen,Family Membership,10,2,0
374,Matthew,Wilson,Individual Membership,5,4,5
375,Brandy,Little,Family Membership,10,3,0
376,Stanley,Cameron,Family Membership,10,3,4
377,Scott,Malone,Individual Membership,5,3,2
378,Cheryl,Flores,Family Membership,10,3,3
379,Christopher,Bray,Student Membership,10,2,5
380,Jessica,White,Family Membership,10,4,3
381,Nicholas,Olsen,Family Membership,10,3,5
382,Mary,Thompson,Student Membership,10,5,3
383,Sarah,Lloyd,Individual Membership,5,1,4
384,Hannah,Bowen,Family Membership,10,2,2
385,Juan,Williams,Student Membership,10,5,1
386,Noah,Moore,Student Membership,10,3,3
387,Crystal,Peterson,Student Membership,10,3,2
388,Charles,Butler,Family Membership,10,1,0
389,Heather,Clark,Family Membership,10,3,0
390,Alyssa,Alvarado,Student Membership,10,3,0
391,Deanna,Walker,Family Membership,10,1,4
392,Nicholas,Carpenter,Family Membership,10,2,5
393,Angela,Robbins,Student Membership,10,4,1
394,Kayla,Peterson,Individual Membership,5,1,2
395,Lisa,Guzman,Individual Membership,5,1,1
396,Allen,Hurst,Student Membership,10,4,1
397,Mary,Anderson,Family Membership,10,1,3
398,Jonathan,Rhodes,Student Membership,10,3,5
399,Samuel,Bradley,Individual Membership,5,2,5
400,Cynthia,White,Individual Membership,5,3,5
401,Anthony,Hansen,Individual Membership,5,5,1
402,Tom,Mills,Individual Membership,5,3,0
403,Emily,Hodge,Family Membership,10,5,1
404,Cameron,Hernandez,Student Membership,10,4,4
405,Kristy,Lee,Individual Membership,5,2,1
406,Gwendolyn,Walker,Individual Membership,5,4,4
407,Taylor,Griffith,Family Membership,10,1,4
408,Anna,James,Student Membership,10,1,0
409,John,Sanchez,Student Membership,10,5,0
410,Brenda,Allen,Individual Membership,5,2,3
411,Debra,Peterson,Family Membership,10,3,0
412,Cody,Oneill,Family Membership,10,3,0
413,Anna,Schneider,Family Membership,10,1,5
414,Darlene,Fitzpatrick,Student Membership,10,2,2
415,Nicole,Guzman,Student Membership,10,2,3
416,Isaac,Cooper,Individual Membership,5,5,4
417,John,Evans,Student Membership,10,4,1
418,Angela,Moore,Family Membership,10,5,2
419,Kristin,Cooper,Family Membership,10,3,4
420,Donna,Pena,Individual Membership,5,3,1
421,Diana,Hernandez,Family Membership,10,5,2
422,David,Matthews,Individual Membership,5,1,1
423,Rachael,Mcguire,Individual Membership,5,2,5
424,Jamie,Harris,Student Membership,10,1,4
425,Julia,Love,Family Membership,10,2,4
426,Joseph,Morgan,Family Membership,10,4,3
427,Joshua,Williams,Family Membership,10,1,2
428,Donald,Vargas,Family Membership,10,4,2
429,Michelle,Stewart,Individual Membership,5,2,3
430,Daniel,Peters,Student Membership,10,1,5
431,Leah,Collins,Student Membership,10,3,0
432,Trevor,Jones,Family Membership,10,2,5
433,Michael,Boyd,Family Membership,10,5,5
434,Debra,Raymond,Individual Membership,5,5,2
435,Grace,Riley,Family Membership,10,4,2
436,Kim,Lewis,Student Membership,10,5,1
437,Cameron,Berry,Family Membership,10,2,1
438,Jason,Scott,Family Membership,10,2,1
439,Andrew,Mendez,Student Membership,10,3,5
440,Karen,Arnold,Individual Membership,5,4,2
441,Michelle,Camacho,Student Membership,10,5,0
442,Tyler,Smith,Individual Membership,5,3,3
443,Travis,Jackson,Student Membership,10,1,5
444,Nathan,Brown,Family Membership,10,3,4
445,Tara,Bauer,Individual Membership,5,4,0
446,Katherine,Rojas,Student Membership,10,4,5
447,Frank,Brown,Student Membership,10,3,1
448,Christian,Morris,Family Membership,10,5,3
449,Louis,Jackson,Individual Membership,5,2,3
450,Laura,Brock,Family Membership,10,2,0
451,Christine,Walsh,Individual Membership,5,4,5
452,John,Hernandez,Family Membership,10,5,0
453,Donald,Herrera,Student Membership,10,2,0
454,Audrey,Chavez,Family Membership,10,2,3
455,Lisa,Lynch,Individual Membership,5,3,1
456,Cassandra,Scott,Individual Membership,5,3,1
457,Kenneth,Wilson,Family Membership,10,1,1
458,Dana,Mcdonald,Family Membership,10,4,5
459,Ariel,Douglas,Student Membership,10,2,4
460,Melissa,Boyd,Student Membership,10,5,1
461,Kaitlin,Thompson,Student Membership,10,5,3
462,Robert,Robinson,Individual Membership,5,1,2
463,Rachael,Haynes,Individual Membership,5,5,0
464,Amanda,Oneill,Student Membership,10,4,5
465,Kelli,Moore,Family Membership,10,5,3
466,Amanda,Little,Family Membership,10,2,2
467,Jimmy,Johnson,Individual Membership,5,2,0
468,Brandi,Thomas,Student Membership,10,3,4
469,Donald,Kemp,Student Membership,10,2,3
470,Kimberly,Williams,Student Membership,10,4,1
471,Alexander,Boyd,Student Membership,10,5,2
472,Lorraine,Owen,Individual Membership,5,3,2
473,Dawn,Hart,Student Membership,10,4,2
474,Catherine,Gilbert,Individual Membership,5,2,5
475,Alisha,Robinson,Individual Membership,5,3,4
476,Alexandria,Terry,Family Membership,10,3,1
477,Andrea,Bailey,Student Membership,10,2,1
478,Holly,Luna,Family Membership,10,4,3
479,Donna,Miller,Individual Membership,5,4,5
480,Nicole,Johnson,Individual Membership,5,5,0
481,Julia,Benitez,Student Membership,10,1,4
482,Margaret,Thompson,Student Membership,10,5,1
483,Philip,Rios,Family Membership,10,5,1
484,Christina,Anderson,Individual Membership,5,3,1
485,Angela,Williams,Individual Membership,5,1,5
486,Kenneth,Henry,Student Membership,10,2,4
487,Melinda,Dennis,Individual Membership,5,2,2
488,Stephen,Best,Family Membership,10,1,0
489,Jeremy,King,Individual Membership,5,2,4
490,Tiffany,Holland,Student Membership,10,5,2
491,Gregory,Wilson,Family Membership,10,3,1
492,Miguel,Graves,Individual Membership,5,5,4
493,Adrienne,Holloway,Individual Membership,5,4,3
494,Brad,Henry,Family Membership,10,5,3
495,Tyler,Stewart,Student Membership,10,2,0
496,Jasmin,Johnson,Family Membership,10,3,3
497,Rebecca,Roberts,Student Membership,10,3,0
498,Michele,Webb,Student Membership,10,4,2
499,Juan,Garcia,Family Membership,10,1,1
500,Beth,Miller,Individual Membership,5,4,0
501,Jacob,Hernandez,Student Membership,10,1,3
502,Tony,Gonzalez,Individual Membership,5,3,0
503,Heather,Newton,Individual Membership,5,5,2
504,Ashley,Gomez,Student Membership,10,3,3
505,Tyler,Miller,Student Membership,10,4,4
506,Sarah,Bradley,Individual Membership,5,1,5
507,Margaret,Jackson,Student Membership,10,3,2
508,Jeffrey,Shepard,Individual Membership,5,5,4
509,Lisa,Peters,Family Membership,10,1,4
510,Alisha,Myers,Student Membership,10,3,0
511,Tina,Lynch,Individual Membership,5,2,2
512,Rebecca,Tyler,Family Membership,10,4,5
513,Shirley,Nunez,Individual Membership,5,3,3
514,Samantha,Brewer,Individual Membership,5,3,5
515,Crystal,Mitchell,Family Membership,10,1,0
516,Erin,Lowery,Individual Membership,5,1,2
517,Paula,Williams,Family Membership,10,2,2
518,James,Johnson,Student Membership,10,2,0
519,Kathy,Johnson,Student Membership,10,3,0
520,Michael,Jones,Student Membership,10,4,5
521,John,Padilla,Individual Membership,5,2,5
522,James,Nolan,Student Membership,10,2,4
523,Theresa,Mason,Individual Membership,5,1,1
524,Cory,Weaver,Family Membership,10,5,1
525,Emily,Turner,Individual Membership,5,5,5
526,Dana,Singleton,Student Membership,10,4,4
527,Justin,Wright,Individual Membership,5,5,5
528,Daniel,Jensen,Individual Membership,5,3,0
529,Patricia,Cook,Student Membership,10,1,1
530,Michele,White,Individual Membership,5,4,3
531,Sydney,Williams,Individual Membership,5,5,4
532,Darlene,Taylor,Family Membership,10,3,5
533,Scott,Bailey,Student Membership,10,5,2
534,Angela,Beltran,Student Membership,10,4,5
535,Christopher,Trujillo,Family Membership,10,5,2
536,Thomas,Steele,Individual Membership,5,4,3
537,Samuel,Trujillo,Student Membership,10,4,1
538,Michelle,Baker,Family Membership,10,3,0
539,Lisa,Price,Individual Membership,5,5,2
540,Jonathan,Lopez,Individual Membership,5,1,2
541,James,Martinez,Individual Membership,5,4,0
542,Matthew,Vaughn,Individual Membership,5,1,4
543,Stephen,Murray,Individual Membership,5,2,1
544,Carlos,Robles,Individual Membership,5,2,0
545,James,Johnson,Student Membership,10,1,1
546,Sean,Wright,Student Membership,10,1,5
547,Michael,Harrison,Family Membership,10,5,4
548,Corey,Nichols,Family Membership,10,1,3
549,Brendan,Middleton,Family Membership,10,2,5
550,Nicole,Brown,Student Membership,10,1,3
551,Savannah,Keith,Individual Membership,5,1,1
552,Steven,Friedman,Individual Membership,5,3,3
553,Thomas,Jones,Family Membership,10,4,1
554,Daniel,Williams,Student Membership,10,4,5
555,Mark,Cole,Individual Membership,5,3,0
556,Christine,Marshall,Student Membership,10,4,1
557,Patricia,Beck,Student Membership,10,2,2
558,Victoria,Thompson,Family Membership,10,4,4
559,Zachary,Stanley,Individual Membership,5,1,5
560,Martin,Arnold,Family Membership,10,1,3
561,Lisa,Thomas,Individual Membership,5,5,2
562,Amanda,Hammond,Family Membership,10,4,3
563,Becky,Jackson,Family Membership,10,2,5
564,Oscar,Elliott,Student Membership,10,5,5
565,Heather,Rodriguez,Student Membership,10,1,3
566,Teresa,Hayden,Student Membership,10,2,5
567,Erika,West,Individual Membership,5,5,1
568,Joseph,Johnson,Individual Membership,5,2,5
569,Ryan,Clarke,Individual Membership,5,3,5
570,Sarah,Cobb,Individual Membership,5,5,3
571,William,Morgan,Family Membership,10,1,0
572,Leonard,Roberts,Individual Membership,5,2,5
573,Jeffrey,Walker,Individual Membership,5,1,2
574,Nicolas,Cross,Student Membership,10,4,4
575,Allison,Copeland,Individual Membership,5,1,5
576,Alice,Matthews,Student Membership,10,4,5
577,Elizabeth,Thomas,Family Membership,10,3,1
578,Scott,Parker,Individual Membership,5,5,2
579,Ethan,Mann,Student Membership,10,4,1
580,Jessica,Lopez,Student Membership,10,2,3
581,James,Walker,Individual Membership,5,1,3
582,Emily,Miranda,Student Membership,10,2,2
583,Thomas,Bowen,Family Membership,10,5,1
584,Matthew,Wilson,Individual Membership,5,4,2
585,Carla,Barrett,Student Membership,10,3,4
586,Evan,Grimes,Individual Membership,5,3,3
587,Jennifer,Cowan,Individual Membership,5,4,5
588,Alejandro,Diaz,Family Membership,10,5,1
589,Bryan,Mooney,Student Membership,10,4,0
